,NO.,CLUSTERED,ACTUAL,RECEPTION DATETIME
23,524,16080042,504,09-May-2022 19:11:25
24,525,52030058,630,09-May-2022 19:11:26
25,526,48060036,181,09-May-2022 19:11:27
26,527,31240006,428,09-May-2022 19:11:28
27,528,34050029,524,09-May-2022 19:11:28
28,529,43050044,324,09-May-2022 19:11:29
29,530,31140102,376,09-May-2022 19:11:30
30,531,30360018,555,09-May-2022 19:11:32
31,532,42090079,416,09-May-2022 19:11:32
32,533,24120058,591,09-May-2022 19:11:33
33,534,37440022,545,09-May-2022 19:11:34
34,535,26180014,77,09-May-2022 19:11:34
35,536,26180016,100,09-May-2022 19:11:34
36,537,52090036,468,09-May-2022 19:11:34
37,538,35160002,611,09-May-2022 19:11:34
38,539,6160086,443,09-May-2022 19:11:35
39,540,31080015,647,09-May-2022 19:11:35
40,541,47060027,390,09-May-2022 19:11:35
41,542,55320112,330,09-May-2022 19:11:35
42,543,26150021,283,09-May-2022 19:11:36
43,544,68170021,616,09-May-2022 19:11:36
44,545,80070002,564,09-May-2022 19:11:36
45,546,45080055,531,09-May-2022 19:11:36
46,547,45310088,501,09-May-2022 19:11:36
47,548,12470022,358,09-May-2022 19:11:36
48,549,64110003,369,09-May-2022 19:11:36
49,550,30300047,403,09-May-2022 19:11:36
0,551,56340012,448,09-May-2022 19:11:37
1,552,33130012,507,09-May-2022 19:11:37
2,553,83040024,391,09-May-2022 19:11:38
3,554,30310015,638,09-May-2022 19:11:38
4,555,29050046,546,09-May-2022 19:11:38
5,556,63190059,275,09-May-2022 19:11:39
6,557,13120166,605,09-May-2022 19:11:39
7,558,15050073,523,09-May-2022 19:11:39
8,559,26130034,497,09-May-2022 19:11:40
9,560,30170039,307,09-May-2022 19:11:40
10,561,39071677,480,09-May-2022 19:11:41
11,562,35090048,388,09-May-2022 19:11:41
12,563,38170009,356,09-May-2022 19:11:41
13,564,4170010,571,09-May-2022 19:11:41
14,565,4100027,243,09-May-2022 19:11:42
15,566,19140020,363,09-May-2022 19:11:42
16,567,19040022,350,09-May-2022 19:11:42
17,568,31020043,368,09-May-2022 19:11:42
18,569,8050001,492,09-May-2022 19:11:43
19,570,22340026,505,09-May-2022 19:11:43
20,571,15230032,625,09-May-2022 19:11:43
21,572,64090011,222,09-May-2022 19:11:43
22,573,55220020,492,09-May-2022 19:11:43
23,574,42030004,541,09-May-2022 19:11:44
24,575,26150011,393,09-May-2022 19:11:45
25,576,33190003,454,09-May-2022 19:11:45
26,577,55020032,565,09-May-2022 19:11:45
27,578,47120145,502,09-May-2022 19:11:45
28,579,73150027,560,09-May-2022 19:11:45
29,580,37390071,554,09-May-2022 19:11:46
30,581,24070044,570,09-May-2022 19:11:46
31,582,55310046,379,09-May-2022 19:11:46
32,583,47150003,539,09-May-2022 19:11:46
33,584,49050043,420,09-May-2022 19:11:47
34,585,55390011,603,09-May-2022 19:11:48
35,586,22310034,663,09-May-2022 19:11:49
36,587,14030062,722,09-May-2022 19:11:49
37,588,53040013,287,09-May-2022 19:11:50
38,589,49150037,295,09-May-2022 19:11:51
39,590,60120001,407,09-May-2022 19:11:51
40,591,31260061,475,09-May-2022 19:11:51
41,592,61020004,393,09-May-2022 19:11:51
42,593,15260035,288,09-May-2022 19:11:51
43,594,49300060,435,09-May-2022 19:11:51
44,595,6010027,171,09-May-2022 19:11:52
45,596,15100001,617,09-May-2022 19:11:52
46,597,30100019,257,09-May-2022 19:11:52
47,598,69030076,685,09-May-2022 19:11:52
48,599,14200026,686,09-May-2022 19:11:52
49,600,6060021,588,09-May-2022 19:11:53
0,601,48220012,107,09-May-2022 19:11:53
1,602,69160164,403,09-May-2022 19:11:53
2,603,55030007,615,09-May-2022 19:11:54
